Address 1,Address 2,Address 3,Country,Full Address,Asset Description,"Additional Asset
Description","Number of
Completed Units",Receiver's Firm,Receiver's Firm Web Address
Knightswood,Drogheda,Meath,Ireland,"Knightswood, Drogheda, Meath, Ireland",Other,Creche,Single,Ferris & Associates,N/A
Johnstown,Enfield,Meath,Ireland,"Johnstown, Enfield, Meath, Ireland",Hotel,,Single,kavanaghfennell,www.kavanaghfennell.ie
"Unit at Trimgate
Street",Navan,Meath,Ireland,"Unit at Trimgate
Street, Navan, Meath, Ireland",Retail,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Bakery Lane,Navan,Meath,Ireland,"Bakery Lane, Navan, Meath, Ireland",Development - Not Commenced,,,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
"Balreask Cross, Trim
Road",Navan,Meath,Ireland,"Balreask Cross, Trim
Road, Navan, Meath, Ireland",Development - Not Commenced,,,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Cherryvalley,Rathmoylan,Meath,Ireland,"Cherryvalley, Rathmoylan, Meath, Ireland",Development - Commenced,,,PwC,www.pwc.com/ie
Duleek Lands,Station Road,Meath,Ireland,"Duleek Lands, Station Road, Meath, Ireland",Development - Commenced,,,Grant Thornton,www.grantthornton.ie
Kilcock,,Meath,Ireland,"Kilcock, Meath, Ireland",Development - Commenced,,,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Ardee Road,Carrickmacross,Monaghan,Ireland,"Ardee Road, Carrickmacross, Monaghan, Ireland",Development - Commenced,,,kavanaghfennell,www.kavanaghfennell.ie
Kilbride Gardens,Clara,Offaly,Ireland,"Kilbride Gardens, Clara, Offaly, Ireland",Residential,,Multiple,Ernst & Young,www.ey.com
Kilbride Gardens,Clara,Offaly,Ireland,"Kilbride Gardens, Clara, Offaly, Ireland",Development - Not Commenced,,,Ernst & Young,www.ey.com
Riverside,Portarlington,Offaly,Ireland,"Riverside, Portarlington, Offaly, Ireland",Residential,,Multiple,BDO Ireland,www.bdo.ie
Offaly Street,Tullamore,Offaly,Ireland,"Offaly Street, Tullamore, Offaly, Ireland",Retail,,Single,McStay Luby,N/A
Tullamore,,Offaly,Ireland,"Tullamore, Offaly, Ireland",Mixed Use,,Multiple,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie
Hanly Quarries,Elphin,Roscommon,Ireland,"Hanly Quarries, Elphin, Roscommon, Ireland",Other,Quarry,Single,Grant Thornton,www.grantthornton.ie
Whelan's Quarry,Lecarrow,Roscommon,Ireland,"Whelan's Quarry, Lecarrow, Roscommon, Ireland",Other,Quarry,Single,Grant Thornton,www.grantthornton.ie
"Sli an
Choiste",Monksland,Roscommon,Ireland,"Sli an
Choiste, Monksland, Roscommon, Ireland",Residential,,Multiple,KPMG,www.kpmg.ie
"Sli an
Choiste",Monksland,Roscommon,Ireland,"Sli an
Choiste, Monksland, Roscommon, Ireland",Development - Commenced,,,KPMG,www.kpmg.ie
Woodstream,Coolaney,Sligo,Ireland,"Woodstream, Coolaney, Sligo, Ireland",Residential,,Multiple,kavanaghfennell,www.kavanaghfennell.ie
Woodstream,Coolaney,Sligo,Ireland,"Woodstream, Coolaney, Sligo, Ireland",Development - Not Commenced,,,kavanaghfennell,www.kavanaghfennell.ie
"The
Meadows",Enniscrone,Sligo,Ireland,"The
Meadows, Enniscrone, Sligo, Ireland",Residential,,Multiple,kavanaghfennell,www.kavanaghfennell.ie
The Lodges,Aherlow,Tipperary,Ireland,"The Lodges, Aherlow, Tipperary, Ireland",Residential,,Single,KPMG,www.kpmg.ie
Monroe East,Ardfinnan,Tipperary,Ireland,"Monroe East, Ardfinnan, Tipperary, Ireland",Development - Not Commenced,,,BDO,www.bdo.ie
Cnoc Cluain,Ballina,Tipperary,Ireland,"Cnoc Cluain, Ballina, Tipperary, Ireland",Residential,,Multiple,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
Boru Court,Ballina,Tipperary,Ireland,"Boru Court, Ballina, Tipperary, Ireland",Residential,,Multiple,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
Deerpark,Cashel,Tipperary,Ireland,"Deerpark, Cashel, Tipperary, Ireland",Development - Not Commenced,,,BDO,www.bdo.ie
Clerihan,Clonmel,Tipperary,Ireland,"Clerihan, Clonmel, Tipperary, Ireland",Retail,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie/
"Poppyfield Retail
Park",Clonmel,Tipperary,Ireland,"Poppyfield Retail
Park, Clonmel, Tipperary, Ireland",Retail,,Single,RSM Farrell Grant Sparks,www.rsmfarrellgrantsparks.ie/
Queen Street,Clonmel,Tipperary,Ireland,"Queen Street, Clonmel, Tipperary, Ireland",Other,Commercial,Single,Grant Thornton,www.grantthornton.ie
Old Bridge Road,Clonmel,Tipperary,Ireland,"Old Bridge Road, Clonmel, Tipperary, Ireland",Development - Not Commenced,,,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
Ballymabin,Dunmore East,Waterford,Ireland,"Ballymabin, Dunmore East, Waterford, Ireland",Development - Not Commenced,,,Ferris & Associates,N/A
"Certain Units -
Johnstown",,Waterford City,Ireland,"Johnstown, Waterford City, Ireland",Residential,,Multiple,Grant Thornton,www.grantthornton.ie
Arcadia Retail Park,Athlone,Westmeath,Ireland,"Arcadia Retail Park, Athlone, Westmeath, Ireland",Retail,,Multiple,Grant Thornton,www.grantthornton.ie
Bogganfin,Athlone,Westmeath,Ireland,"Bogganfin, Athlone, Westmeath, Ireland",Development - Not Commenced,,,"National Insolvency Unit,
HBC Limerick",www.hbcl.ie
"Boggafin, Monksland",Athlone,Westmeath,Ireland,"Boggafin, Monksland, Athlone, Westmeath, Ireland",Development - Not Commenced,,,KPMG,www.kpmg.ie
New Forest Golf Club,"Higginstown,
Tyrellspass",Westmeath,Ireland,"New Forest Golf Club, Higginstown,
Tyrellspass, Westmeath, Ireland",Other,Golf Club,Single,KPMG,www.kpmg.ie
Village Green,Killucan,Westmeath,Ireland,"Village Green, Killucan, Westmeath, Ireland",Development - Commenced,,,McStay Luby,N/A
Raharney Road,Killucan,Westmeath,Ireland,"Raharney Road, Killucan, Westmeath, Ireland",Development - Not Commenced,,,McStay Luby,N/A
Clonmore,Mullingar,Westmeath,Ireland,"Clonmore, Mullingar, Westmeath, Ireland",Industrial,,Multiple,McStay Luby,N/A
Dominick Street,Mullingar,Westmeath,Ireland,"Dominick Street, Mullingar, Westmeath, Ireland",Retail,,Single,McStay Luby,N/A
Marlinstown,,Westmeath,Ireland,"Marlinstown, Westmeath, Ireland",Residential,,Single,McStay Luby,N/A
Ballindinas,Barntown,Wexford,Ireland,"Ballindinas, Barntown, Wexford, Ireland",Hotel,,Single,BDO,www.bdo.ie
"Certain Assets at
Westbury Woods,",Enniscorthy,Wexford,Ireland,"Certain Assets at
Westbury Woods,, Enniscorthy, Wexford, Ireland",Residential,,Multiple,RSM Farrell Grant Sparks,www.fgspartnership.com
Lands at Clonhaston,Enniscorthy,Wexford,Ireland,"Lands at Clonhaston, Enniscorthy, Wexford, Ireland",Agricultural Land,,,RSM Farrell Grant Sparks,www.fgspartnership.com
Ashford Lands,Ashford,Wicklow,Ireland,"Ashford Lands, Ashford, Wicklow, Ireland",Development - Not Commenced,,,Grant Thornton,www.grantthornton.ie
Main Street,Ashford,Wicklow,Ireland,"Main Street, Ashford, Wicklow, Ireland",Development - Not Commenced,,,W.K Nowlan & Associates,www.wkn.ie
Lower Dargle Road,Bray,Wicklow,Ireland,"Lower Dargle Road, Bray, Wicklow, Ireland",Other,Grasslands,Single,PwC,www.pwc.com/ie
Rocky Valley Drive,Enniskerry,Wicklow,Ireland,"Rocky Valley Drive, Enniskerry, Wicklow, Ireland",Agricultural Land,,,W.K Nowlan & Associates,www.wkn.ie
Trafalgar Road,Greystones,Wicklow,Ireland,"Trafalgar Road, Greystones, Wicklow, Ireland",Development - Not Commenced,,,McStay Luby,N/a
Cookstown Rd,Greystones,Wicklow,Ireland,"Cookstown Rd, Greystones, Wicklow, Ireland","Development - Not Commenced
Mixed Use",,,KPMG,www.kpmg.ie
Church Road,Greystones,Wicklow,Ireland,Church Road	Greystones	Wicklow	Ireland,Development - Not Commenced,,,W.K Nowlan & Associates,www.wkn.ie
Ballinderry Road,Rathdrum,Wicklow,Ireland,"Ballinderry Road, Rathdrum, Wicklow, Ireland",Development - Not Commenced,,Multiple,W.K Nowlan & Associates,www.wkn.ie
Corballis Drive,Rathdrum,Wicklow,Ireland,"Corballis Drive, Rathdrum, Wicklow, Ireland",Development - Not Commenced,,,W.K Nowlan & Associates,www.wkn.ie
Main Street,Rathdrum,Wicklow,Ireland,"Main Street, Rathdrum, Wicklow, Ireland",Development - Commenced,,,W.K Nowlan & Associates,www.wkn.ie
Main Street,Rathdrum,Wicklow,Ireland,"Main Street, Rathdrum, Wicklow, Ireland",Retail,,Multiple,W.K Nowlan & Associates,www.wkn.ie
"Tulfarris House and
Golf Resort",Tulfarris,Wicklow,Ireland,"Tulfarris House and
Golf Resort, Tulfarris, Wicklow, Ireland",Other,Hotel & Golf Course,Multiple,Grant Thornton,www.grantthornton.ie
Ashford,,Wicklow,Ireland,"Ashford, Wicklow, Ireland",Development - Not Commenced,,,Grant Thornton,www.grantthornton.ie
Knockrobin,,Wicklow,Ireland,"Knockrobin, Wicklow, Ireland",Development - Not Commenced,,,Grant Thornton,www.grantthornton.ie
Great Victoria Street,Belfast,Antrim,Northern Ireland,"Great Victoria Street, Belfast, Antrim, Northern Ireland",Development - Not Commenced,,,Keenan Corporate Finance,www.keenancf.com
"Belsize Meadows
Phase 1",Lisburn,Antrim,Northern Ireland,"Belsize Meadows
Phase 1, Lisburn, Antrim, Northern Ireland",Development - Commenced,,,BDO Northern Ireland,www.bdoni.com
"Belsize Meadows
Phase 2",Lisburn,Antrim,Northern Ireland,"Belsize Meadows
Phase 2, Lisburn, Antrim, Northern Ireland",Development - Not Commenced,,,BDO Northern Ireland,www.bdoni.com
Michelin Road,Newtonabbey,Antrim,Northern Ireland,"Michelin Road, Newtonabbey, Antrim, Northern Ireland",Industrial,,Single,kavanaghfennell,www.kavanaghfennell.ie
Lylehill Road,Templepatrick,Antrim,Northern Ireland,"Lylehill Road, Templepatrick, Antrim, Northern Ireland",Development - Not Commenced,,,PwC,www.pwc.co.uk
Strangford Road,,"Ardglass, BT30 7SH",Northern Ireland,"Strangford Road, Ardglass, BT30 7SH, Northern Ireland",Development - Commenced,,,BDO Northern Ireland,www.bdoni.com
Union Street,Lurgan,Armagh,Northern Ireland,"Union Street, Lurgan, Armagh, Northern Ireland",Development - Not Commenced,,,BDO Northern Ireland,www.bdoni.com
Derryhale Road,Portadown,Armagh,Northern Ireland,"Derryhale Road, Portadown, Armagh, Northern Ireland",Development - Not Commenced,,,RSM McClure Watters,www.rsmmcw.com
Limestone Square,Rock Road,Armagh,Northern Ireland,"Limestone Square, Rock Road, Armagh, Northern Ireland",Residential,,Multiple,RSM McClure Watters,www.rsmmcw.com
Limestone Square,Rock Road,Armagh,Northern Ireland,"Limestone Square, Rock Road, Armagh, Northern Ireland",Development - Not Commenced,,,RSM McClure Watters,www.rsmmcw.com
Oak Grove,,"Banbridge, BT32 3GT",Northern Ireland,"Oak Grove, Banbridge, BT32 3GT, Northern Ireland",Development - Not Commenced,,,BDO Northern Ireland,www.bdoni.com
Millmount,Dundonald,Belfast,Northern Ireland,"Millmount, Dundonald, Belfast, Northern Ireland",Development - Not Commenced,,,Baker Tilly Ryan Glennon,www.bakertillyrg.ie
Locksley Drive,Finaghy,Belfast,Northern Ireland,"Locksley Drive, Finaghy, Belfast, Northern Ireland",Development - Not Commenced,,,KPMG,www.kpmg.ie
Stranmillis Gardens,,"Belfast, BT9 5AS",Northern Ireland,"Stranmillis Gardens, Belfast, BT9 5AS, Northern Ireland",Residential,,Single,BDO Northern Ireland,www.bdoni.com
Park Street,,Coleraine BT52,Northern Ireland,"Park Street, Coleraine BT52, Northern Ireland",Public House,,Single,Osborne King & Megran Ltd,www.osborneking.com
Ringsend Road,Banbridge,Down,Northern Ireland,"Ringsend Road, Banbridge, Down, Northern Ireland",Agricultural Land,,,RSM McClure Watters,www.rsmmcw.com
"Mullafernaghan
Road",Banbridge,Down,Northern Ireland,"Mullafernaghan
Road, Banbridge, Down, Northern Ireland",Development - Not Commenced,,,RSM McClure Watters,www.rsmmcw.com
"Mullafernaghan
Road",Banbridge,Down,Northern Ireland,"Mullafernaghan
Road, Banbridge, Down, Northern Ireland",Agricultural Land,,,RSM McClure Watters,www.rsmmcw.com
Ballygowan Road,Banbridge,Down,Northern Ireland,"Ballygowan Road, Banbridge, Down, Northern Ireland",Agricultural Land,,,RSM McClure Watters,www.rsmmcw.com
Lisadell Place,Bangor,Down,Northern Ireland,"Lisadell Place, Bangor, Down, Northern Ireland",Residential,,Single,KPMG,www.kpmg.ie
Inn Road,Dollingstown,Down,Northern Ireland,"Inn Road, Dollingstown, Down, Northern Ireland",Residential,,Single,RSM McClure Watters,www.rsmmcw.com
Inn Road,Dollingstown,Down,Northern Ireland,"Inn Road, Dollingstown, Down, Northern Ireland",Development - Not Commenced,,,RSM McClure Watters,www.rsmmcw.com
Skeagh Road,Dromara,Down,Northern Ireland,"Skeagh Road, Dromara, Down, Northern Ireland",Agricultural Land,,,RSM McClure Watters,www.rsmmcw.com
Enagh Road,Dromara,Down,Northern Ireland,"Enagh Road, Dromara, Down, Northern Ireland",Development - Not Commenced,,,RSM McClure Watters,www.rsmmcw.com
Banbridge Road,Dromore,Down,Northern Ireland,"Banbridge Road, Dromore, Down, Northern Ireland",Residential,,Single,RSM McClure Watters,www.rsmmcw.com
Hillsborough Road,Dromore,Down,Northern Ireland,"Hillsborough Road, Dromore, Down, Northern Ireland",Development - Not Commenced,,,RSM McClure Watters,www.rsmmcw.com
Barban Hill,Dromore,Down,Northern Ireland,"Barban Hill, Dromore, Down, Northern Ireland",Residential,,Single,RSM McClure Watters,www.rsmmcw.com
Barban Hill,Dromore,Down,Northern Ireland,"Barban Hill, Dromore, Down, Northern Ireland",Agricultural Land,,,RSM McClure Watters,www.rsmmcw.com
Villawood Road,Dromore,Down,Northern Ireland,"Villawood Road, Dromore, Down, Northern Ireland",Development - Not Commenced,,,RSM McClure Watters,www.rsmmcw.com
Villawood Road,Dromore,Down,Northern Ireland,"Villawood Road, Dromore, Down, Northern Ireland",Residential,,Single,RSM McClure Watters,www.rsmmcw.com
Villawood Road,Dromore,Down,Northern Ireland,"Villawood Road, Dromore, Down, Northern Ireland",Development - Not Commenced,,,RSM McClure Watters,www.rsmmcw.com
Upper Quliiy Road,Dromore,Down,Northern Ireland,"Upper Quliiy Road, Dromore, Down, Northern Ireland",Residential,,Single,RSM McClure Watters,www.rsmmcw.com
Upper Quliiy Road,Dromore,Down,Northern Ireland,"Upper Quliiy Road, Dromore, Down, Northern Ireland",Agricultural Land,,,RSM McClure Watters,www.rsmmcw.com
"Certian Units at Moss
Lane",Dromore,Down,Northern Ireland,"Certian Units at Moss
Lane, Dromore, Down, Northern Ireland",Industrial,,Multiple,RSM McClure Watters,www.rsmmcw.com
Lagan Villas,Dromore,Down,Northern Ireland,"Lagan Villas, Dromore, Down, Northern Ireland",Residential,,Single,RSM McClure Watters,www.rsmmcw.com
Blackscull Road,Dromore,Down,Northern Ireland,"Blackscull Road, Dromore, Down, Northern Ireland",Agricultural Land,,,RSM McClure Watters,www.rsmmcw.com
Mossvale Road,Dromore,Down,Northern Ireland,"Mossvale Road, Dromore, Down, Northern Ireland",Agricultural Land,,,RSM McClure Watters,www.rsmmcw.com
Church Street,Dromore,Down,Northern Ireland,"Church Street, Dromore, Down, Northern Ireland",Development - Not Commenced,,,RSM McClure Watters,www.rsmmcw.com
Rowantree Road,Dromore,Down,Northern Ireland,"Rowantree Road, Dromore, Down, Northern Ireland",Agricultural Land,,,RSM McClure Watters,www.rsmmcw.com
Villawood Road,Dromore,Down,Northern Ireland,"Villawood Road, Dromore, Down, Northern Ireland",Development - Not Commenced,,,RSM McClure Watters,www.rsmmcw.com
Villawood Road,Dromore,Down,Northern Ireland,"Villawood Road, Dromore, Down, Northern Ireland",Residential,,Single,RSM McClure Watters,www.rsmmcw.com
Hillsborough Road,Dromore,Down,Northern Ireland,"Hillsborough Road, Dromore, Down, Northern Ireland",Residential,,Single,RSM McClure Watters,www.rsmmcw.com
"Quillyburn Industrial
Estate",Dromore,Down,Northern Ireland,"Quillyburn Industrial
Estate, Dromore, Down, Northern Ireland",Industrial,,Single,RSM McClure Watters,www.rsmmcw.com
"Quillyburn Industrial
Estate",Dromore,Down,Northern Ireland,"Quillyburn Industrial
Estate, Dromore, Down, Northern Ireland",Development - Not Commenced,,,RSM McClure Watters,www.rsmmcw.com
Barronstown Road,Dromore,Down,Northern Ireland,"Barronstown Road, Dromore, Down, Northern Ireland",Development - Not Commenced,,,RSM McClure Watters,www.rsmmcw.com
Dunlady Road,Dundonald,Down,Northern Ireland,"Dunlady Road, Dundonald, Down, Northern Ireland",Development - Not Commenced,,,Keenan Corporate Finance,www.keenancf.com
Annaghbane Road,Loughbrickland,Down,Northern Ireland,"Annaghbane Road, Loughbrickland, Down, Northern Ireland",Development - Not Commenced,,,RSM McClure Watters,www.rsmmcw.com
Annaghbane Road,Loughbrickland,Down,Northern Ireland,"Annaghbane Road, Loughbrickland, Down, Northern Ireland",Agricultural Land,,,RSM McClure Watters,www.rsmmcw.com
Annaghbane Road,Loughbrickland,Down,Northern Ireland,"Annaghbane Road, Loughbrickland, Down, Northern Ireland",Residential,,Single,RSM McClure Watters,www.rsmmcw.com
Drumnabreeze Road,Magheralin,Down,Northern Ireland,"Drumnabreeze Road, Magheralin, Down, Northern Ireland",Residential,,Single,RSM McClure Watters,www.rsmmcw.com
Lismaine Road,Magheralin,Down,Northern Ireland,"Lismaine Road, Magheralin, Down, Northern Ireland",Development - Not Commenced,,,RSM McClure Watters,www.rsmmcw.com
Drumnabreeze Road,Magheralin,Down,Northern Ireland,"Drumnabreeze Road, Magheralin, Down, Northern Ireland",Residential,,Single,RSM McClure Watters,www.rsmmcw.com
Bryansford Road,Newcastle,Down,Northern Ireland,"Bryansford Road, Newcastle, Down, Northern Ireland",Development - Not Commenced,,,RSM McClure Watters,www.rsmmcw.com
Dorans Hill,Newry,Down,Northern Ireland,"Dorans Hill, Newry, Down, Northern Ireland",Development - Not Commenced,,,BDO Northern Ireland,www.bdoni.com
Tullinisky Road,Waringsford,Down,Northern Ireland,"Tullinisky Road, Waringsford, Down, Northern Ireland",Development - Not Commenced,,,RSM McClure Watters,www.rsmmcw.com
Beech Meadows,Waringstown,Down,Northern Ireland,"Beech Meadows, Waringstown, Down, Northern Ireland",Development - Commenced,,,BDO Northern Ireland,www.bdoni.com
Lower Dromore Road,Warrenpoint,Down,Northern Ireland,"Lower Dromore Road, Warrenpoint, Down, Northern Ireland",Development - Not Commenced,,,BDO Northern Ireland,www.bdoni.com
Riverside Apartments,Banbridge Road,Dromore,Northern Ireland,"Riverside Apartments, Banbridge Road, Dromore, Northern Ireland",Residential,,Multiple,RSM McClure Watters,www.rsmmcw.com
Cambric Court,Hillsborough Road,Dromore,Northern Ireland,"Cambric Court, Hillsborough Road, Dromore, Northern Ireland",Residential,,Multiple,RSM McClure Watters,www.rsmmcw.com
Brookborough Road,Lisnaskea,Fermanagh,Northern Ireland,"Brookborough Road, Lisnaskea, Fermanagh, Northern Ireland",Development - Not Commenced,,,RSM McClure Watters,www.rsmmcw.com
Moorlough Road,Lisnaskea,Fermanagh,Northern Ireland,"Moorlough Road, Lisnaskea, Fermanagh, Northern Ireland",Development - Not Commenced,,,RSM McClure Watters,www.rsmmcw.com
Newtownbutler Road,Lisnaskea,Fermanagh,Northern Ireland,"Newtownbutler Road, Lisnaskea, Fermanagh, Northern Ireland",Development - Not Commenced,,,RSM McClure Watters,www.rsmmcw.com
Beechfield Mews,Moira Road,Lisburn,Northern Ireland,"Beechfield Mews, Moira Road, Lisburn, Northern Ireland",Residential,,Multiple,RSM McClure Watters,www.rsmmcw.com
Beechwood,Brookborough Road,Lisnaskea,Northern Ireland,"Beechwood, Brookborough Road, Lisnaskea, Northern Ireland",Residential,,Multiple,RSM McClure Watters,www.rsmmcw.com
Greenhall Highway,Coleraine,Londonderry,Northern Ireland,"Greenhall Highway, Coleraine, Londonderry, Northern Ireland",Development - Not Commenced,,,Keenan Corporate Finance,www.keenancf.com
Glenshane Road,Drumahoe,Londonderry,Northern Ireland,"Glenshane Road, Drumahoe, Londonderry, Northern Ireland",Development - Not Commenced,,,Keenan Corporate Finance,www.keenancf.com
Strand Road,Portstewart,Londonderry,Northern Ireland,"Strand Road, Portstewart, Londonderry, Northern Ireland",Residential,,Single,PwC,www.pwc.co.uk
Strand Road,Portstewart,Londonderry,Northern Ireland,"Strand Road, Portstewart, Londonderry, Northern Ireland",Residential,,Single,PwC,www.pwc.co.uk
Letterloan Road,Coleraine,"Londonderry BT51
4PP",Northern Ireland,"Letterloan Road, Coleraine, Londonderry BT51 4PP, Northern Ireland",Industrial,,Multiple,Ernst & Young LLP,www.ey.com
Millvale Road,,"Newry, BT35 7NH",Northern Ireland,"Millvale Road, Newry, BT35 7NH, Northern Ireland",Office,,Single,BDO Northern Ireland,www.bdoni.com
Carricklongfield,Aughnacloy,Tyrone,Northern Ireland,"Carricklongfield, Aughnacloy, Tyrone, Northern Ireland",Development - Not Commenced,,,RSM McClure Watters,www.rsmmcw.com
Brookmount Road,Ballylifford,Tyrone,Northern Ireland,"Brookmount Road, Ballylifford, Tyrone, Northern Ireland",Development - Not Commenced,,,RSM McClure Watters,www.rsmmcw.com
Brookmount Road,Ballylifford,Tyrone,Northern Ireland,"Brookmount Road, Ballylifford, Tyrone, Northern Ireland",Residential,,Single,RSM McClure Watters,www.rsmmcw.com
Chruch Road,Beragh,Tyrone,Northern Ireland,"Chruch Road, Beragh, Tyrone, Northern Ireland",Residential,,Single,RSM McClure Watters,www.rsmmcw.com
Church Street,Beragh,Tyrone,Northern Ireland,"Church Street, Beragh, Tyrone, Northern Ireland",Agricultural Land,,,RSM McClure Watters,www.rsmmcw.com
Killmeal Road,Dungannon,Tyrone,Northern Ireland,"Killmeal Road, Dungannon, Tyrone, Northern Ireland",Development - Not Commenced,,,RSM McClure Watters,www.rsmmcw.com
Culvacullion Road,Gortin,Tyrone,Northern Ireland,"Culvacullion Road, Gortin, Tyrone, Northern Ireland",Development - Not Commenced,,,RSM McClure Watters,www.rsmmcw.com
"The
Old Mill",Tulliniskey Road,Waringsford,Northern Ireland,"The Old Mill, Tulliniskey Road, Waringsford, Northern Ireland",Residential,,Multiple,RSM McClure Watters,www.rsmmcw.com
Junction Road,,Andover,Great Britain,"Junction Road, Andover, Great Britain",Retail,,Single,GVA,www.gva.co.uk
"Brookfield
Apartments, Leigh
Road",,Atherton M46 0NW,Great Britain,"Brookfield
Apartments, Leigh
Road, Atherton M46 0NW, Great Britain",Residential,,Multiple,KPMG,www.kpmg.ie
"development site,
Station Road",Denbigh,Bangor,Great Britain,"Station Road, Denbigh, Bangor, Great Britain",Development - Not Commenced,,,Begbies Traynor (Central) LLP,"www.begbies-
traynorgroup.com/begbies-
traynor/"
The Heights,St John's Street,Bedford,Great Britain,"The Heights, St John's Street, Bedford, Great Britain",Mixed Use,,Multiple,Edward Symmons LLP,www.edwardsymmons.com
"Concorde Business
Park",Maidenhead,Berkshire,Great Britain,"Concorde Business
Park, Maidenhead, Berkshire, Great Britain",Office,,Multiple,Colliers International,www.colliers.com
Hamilton Street,,"Birkenhead CH41
5AD",Great Britain,"Hamilton Street, Birkenhead CH41
5AD, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
High Steet,Harborne,Birmingham,Great Britain,"High Steet, Harborne, Birmingham, Great Britain",Residential,,Multiple,Deloitte LLP,www.deloitte.co.uk
Irving Street,,Birmingham,Great Britain,"Irving Street, Birmingham, Great Britain",Residential,,Multiple,KPMG LLP,www.kpmg.com
Irving Street,,Birmingham,Great Britain,"Irving Street, Birmingham, Great Britain",Development - Not Commenced,,,KPMG LLP,www.kpmg.com
Connaught Square,Digbeth,Birmingham B5 6HA,Great Britain,"Connaught Square, Digbeth, Birmingham B5 6HA, Great Britain",Development - Not Commenced,,,Begbies Traynor,www.begbies-traynor.com
Church Street,Promenade,Blackpool,Great Britain,"Church Street, Promenade, Blackpool, Great Britain",Retail,,Multiple,Jones Lang LaSalle Ltd,www.joneslanglasalle.co.uk
Bank Hey Street,,Blackpool,Great Britain,"Bank Hey Street, Blackpool, Great Britain",Retail,,Single,Jones Lang LaSalle Ltd,www.joneslanglasalle.co.uk
"Denbigh Road,",,"Bletchley, MK1 1",Great Britain,"Denbigh Road,, Bletchley, MK1 1, Great Britain",Industrial,,Single,Capita Symonds,"www.capitasymonds.com/realest
ate"
Bridge Street,,Blyth,Great Britain,"Bridge Street, Blyth, Great Britain",Retail,,Single,KPMG LLP,www.kpmg.co.uk
Bridge Street,,Blyth,Great Britain,"Bridge Street, Blyth, Great Britain",Retail,,Single,KPMG LLP,www.kpmg.co.uk
Rochdale Road,,Bury BL9 7AY,Great Britain,"Rochdale Road, Bury BL9 7AY, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
"Dukes Court, Duke
Street",Macclesfield,Cheshire,Great Britain,"Dukes Court, Duke
Street, Macclesfield, Cheshire, Great Britain",Mixed Use,,Multiple,Begbies Traynor (Central) LLP,"www.begbies-
traynorgroup.com/begbies-
traynor/"
Duke Street,Macclesfield,Cheshire,Great Britain,"Duke Street, Macclesfield, Cheshire, Great Britain",Retail,,Single,Begbies Traynor (Central) LLP,"www.begbies-
traynorgroup.com/begbies-
traynor/"
Duke Street,Macclesfield,Cheshire,Great Britain,"Duke Street, Macclesfield, Cheshire, Great Britain",Retail,,Single,Begbies Traynor (Central) LLP,"www.begbies-
traynorgroup.com/begbies-
traynor/"
Duke Street,Macclesfield,Cheshire,Great Britain,"Duke Street, Macclesfield, Cheshire, Great Britain",Retail,,Single,Begbies Traynor (Central) LLP,"www.begbies-
traynorgroup.com/begbies-
traynor/"
Mill Street,Macclesfield,Cheshire,Great Britain,"Mill Street, Macclesfield, Cheshire, Great Britain",Retail,,Single,Begbies Traynor (Central) LLP,"www.begbies-
traynorgroup.com/begbies-
traynor/"
Mill Street,Macclesfield,Cheshire,Great Britain,"Mill Street, Macclesfield, Cheshire, Great Britain",Retail,,Single,Begbies Traynor (Central) LLP,"www.begbies-
traynorgroup.com/begbies-
traynor/"
Mill Street,Macclesfield,Cheshire,Great Britain,"Mill Street, Macclesfield, Cheshire, Great Britain",Retail,,Single,Begbies Traynor (Central) LLP,"www.begbies-
traynorgroup.com/begbies-
traynor/"
Station Road,North Wingfield,Chesterfield S42 5JJ,Great Britain,"Station Road, North Wingfield, Chesterfield S42 5JJ, Great Britain",Public House,,Single,PricewaterhouseCoopers LLP,www.pwc.co.uk
Main Street,,Coatbridge,Great Britain,"Main Street, Coatbridge, Great Britain",Retail,,Single,KPMG LLP,www.kpmg.co.uk
Dingwall Road,,"Croydon, CR9 3",Great Britain,"Dingwall Road, Croydon, CR9 3, Great Britain",Development - Not Commenced,,,Capita Symonds,"www.capitasymonds.com/realest
ate"
High Road,Whiteheaven,Cumbria,Great Britain,"High Road, Whiteheaven, Cumbria, Great Britain",Industrial,,Multiple,BDO Northern Ireland,www.bdoni.com
"The
Village","Maisies Way, South
Normanton","Derbshire, DE55 2DS",Great Britain,"The Village, Maisies Way, South
Normanton, Derbshire, DE55 2DS, Great Britain",Office,,Multiple,Deloitte LLP,www.deloitte.co.uk
